"user_id","company","title","industry","location","description","startdate","enddate"
"-5281240202927085245","-","Werkzoekend","","Enschede","","2020-03-01",""
"-7678865926833234293",".","Training Officer","","","","",""
"6994178338743811240","-","Technical Consulting\, Eye Protection Laser Safety","","","Optical and mechanical testing of eye and face protectors. Provide consultation for safety classification of lasers\, LEDs and other optical sources.","2015-01-01","2019-12-01"
"-5488868499928099449",".","Promoter eventi","","Piacenza\, Emilia-Romagna\, Italia","Promuovevo i prodotti dell’azienda durante l’evento Petsfestival che si tiene ogni anno a Piacenza.","2015-11-01","2015-11-01"
"3266200785876051496","*","Head of HR & Franchise Management","","London\, United Kingdom","Leading all aspects of the franchise management submission for the £1bn per annum rail bid. Developing strategic people solutions for: organisation design; corporate management systems; sustainability and environmental management; all aspects of human resources (from overall strategy to workforce planning); and transition. This included developing change management\, mobilisation and transitions plans for c 5\,000 staff and employment relations strategies and approaches within a heavily unionised environment. I led a small team of analysts who were supporting the development of the bid plans and was part of the bid leadership team..","2016-01-01","2016-08-01"
"-2875551015243748419","..","مهندس مدني","","","","",""
"9183725037829333437","-","-","","Melbourne\, Australia","","1971-03-01",""
"-1999506022050784286","","Senior consultant","","Nîmes\, France","Biotech / Greentech / Cleantech / Pharma - Strategy (corporate / business) - Fund raising (equity / IPO) / Investor relations - Business development (industrial partnerships / licensing) - Innovation projects (Structuration / Partnering / public financing) - Executive management","2017-09-01",""
"-1100749246126528784",".",".","","","","",""
"8320648021274037212","-","Продвижение бизнеса в интернете\, консультации и услуги","","Москва\, Россия","Консультации по стратегии развития бизнеса и привлечения клиентов - улучшение эффективности рекламы\, увеличение продаж\, без больших затрат. Партизанский маркетинг. Создание сайтов\, продвижение в интернете с помощью контекстной рекламы и социальных сетей.","",""
"-3691593382992155371","-","Im Ruhestand","","Austria","","2020-07-01",""
"-6663217931236717072","-","R&D software engineer on audio and video watermarking system embedder","","","♦ Debugging of an audio watermarking plugin in Compressor MacOS X (MacMini/ObjectiveC) › Integration of the Xcode solution in the continuous integration server (QuickBuild) › Debugging of inter-thread locks preventing real time processing\, and deadlocks (ObjectiveC) ♦ Development of a watermarking library in MXF files in two passes (non real time preprocessing\, and real time embedding to watermark several payloads) › Integration of the MXFTk parsing library (OpenCube) › Optimization of video processing algorithm complexity from 8x real time to less than 3x (reducing intermediate I/O\, adding multithreading etc.) › Integration of the preprocessing/embedding library in the Web watermarking service ♦ Development in a Web watermarking service (WCFService/Javascript) › Migration from SOAP API to REST API › Debugging and adding of new components in the GUI (Javascript/jQuery) › Development of unit tests getting resources from the REST API (Python) › Development of unit tests for the GUI features (Python/Selenium/Firefox/IE/Chrome) › Development of a checking script to highlight new CSS IDs in the versioning system\, and to check REST API consistency between versions (Shell/SVN) ♦ Integration of an audio watermarking plugin for Rhozet Carbon Coder ♦ Integration of an audio watermarking plugin for ProRes files (QuickTimeSDK/Windows) ♦ Development an audio watermarking SDK (C++ Interface) ♦ Server virtualization and deployment › Installation of HP DL G5/G7/G8 servers and generation of system images with CloneZilla › Set up of virtual servers (Oracle VirtualBox\, VMWare vSphere) Environment : - Device : x86\, x64 - System : Windows Serveur 2003\, Windows Serveur 2008 (R1\, R2) & XP Windows 7\, VirtualBox\, WMWare vSphere\, SVN\, GIT\, CruiseControl\, Selenium\, JSON\, jQuery - Language : C++\, C\, C#\, Python\, Shell\, CMake\, Javascript","2012-01-01","2013-01-01"
"-4044785908614285347","..","Taking Downhill skiing lessons","","Sigulda\, Latvia","It was nice to spend time with family and pay back a bit","2012-10-01","2013-03-01"
"-9009295246179830390","-","Ingeniera de Caminos","","","Período Internacional de experiencia profesional y personal llena de retos: 3 adaptaciones a nuevos territorios dentro de un mismo país y una entre países\, todo ello con la llegada de hijos mellizos y lejos de la familia y allegados. Aprendizaje a nivel de resiliencia\, nuevos idiomas\, culturas\, costumbres y temperaturas extremas durante períodos medio-llargos. Período profesional dedicado a los análisis de estudios de nuevos negocios; así como\, mantener una constante inquietud por los nuevos avances en el campo de la ingeniería civil (BIM).","2014-10-01",""
"-3630568091072935575",".","Freie Redakteurin & Stylistin","","Berlin und Umgebung\, Deutschland","","2018-10-01",""
"-1276649070292823384","..","..","","433","","2010-09-01",""
"-3649326195078429154","-","Joogaopettaja - Yoga teacher","","Oulu Area\, Finland","I offer my yoga services to different companies\, individuals and groups. I also fill in some yoga classes.","2015-05-01",""
"6866763171762725699",".....","Impiegata amministrativa settore assicurativo","","Genova\, Italy","Impiegata amministrativa settore assicurativo con mansione principale settore auto\, preventivi ed emissioni polizze\, smistamento pratiche e mansioni di segreteria.","2010-05-01",""
"2973561183399599300",".","Consultor","","Provincia de Santiago\, Chile","","2016-03-01",""
"-7086706187227126513",".",".","","","","",""
"-3761166179831646893",".","Director of Music ♦ Head of Music Performance ♦ Musical Conductor ♦ Classroom Music Teacher","","Sydney\, Australia","I am interested in opportunities where I can combine my experience leading the growth of musical curriculum and performances with a collaborative\, engaging and innovative approach to develop the future direction and vision for music education and performance for students from Kindergarten to Year 12. ● Educational Leadership ● Music Direction ● Musical Performance ● Stakeholder Engagement ● Program Development ● Student Liaison ● Teaching","2020-01-01",""
"-908417860872857743","----------","-----","","Tallahassee\, Florida Area","","2004-08-01","2005-04-01"
"-7035829553543959786",".","market research professional (qualitative research - Markets\, Brands\, Advertising...)","","","","2011-02-01","2020-02-01"
"242222449850191481","","Manager of Business Intelligence","","","","2017-01-01",""
"4034890681991630309","...","International Business Advisor","","Goiania\, GO\, Brazil","","2010-01-01","2015-01-01"
"-4884090995467139164","............","Site Manager","","","","2017-01-01",""
